date,Food,Housing,Transport,Health,Recreation,Misc,Headline
2006-01-01,1.128349788434413,3.795811518324599,5.138888888888893,2.409638554216853,-2.030456852791873,3.5409035409035283,2.171136653895278
2006-02-01,0.9803921568627194,3.790849673202623,4.264099037138913,2.269692923898514,-0.7142857142857117,3.5365853658536617,2.165605095541401
2006-03-01,-0.4166666666666652,3.9113428943937434,3.688524590163933,2.136181575433893,-1.4271151885830724,3.654080389768577,2.0304568527918843
2006-04-01,0.1400560224089631,4.263565891472854,4.483695652173925,2.652519893899208,-1.5228426395939132,3.995157384987902,2.275600505689024
2006-05-01,1.1142061281337101,4.774193548387107,4.172274562584133,2.9139072847682135,-1.527494908350302,3.9903264812575445,2.3929471032745564
2006-06-01,1.810584958217265,4.890604890604888,4.0322580645161255,2.645502645502651,-1.6309887869520812,4.347826086956541,2.644836272040285
2006-07-01,3.0985915492957705,5.006418485237463,3.416557161629452,2.3622047244094446,-1.3319672131147486,3.592814371257491,2.515723270440251
2006-08-01,3.2303370786516794,5.000000000000004,2.5974025974025983,2.6212319790301475,-0.92592592592593,3.703703703703698,2.634880803011286
2006-09-01,3.7921348314606806,4.987212276214814,0.5235602094240788,2.752293577981657,-0.9240246406570951,3.9379474940334003,2.50312891113893
2006-10-01,4.647887323943656,5.095541401273884,-0.5249343832021025,3.0065359477124076,-1.025641025641022,3.6817102137767233,2.499999999999991
2006-11-01,4.895104895104896,5.209656925031769,0.8000000000000007,3.0065359477124076,-0.7194244604316613,3.4360189573459543,2.750000000000008
2006-12-01,4.450625869262859,5.189873417721502,1.9920318725099584,3.815789473684217,-0.30800821355236874,3.3175355450236976,2.8642590286425795
2007-01-01,3.905160390516027,5.170239596469117,0.7926023778071167,3.790849673202623,-0.31088082901553626,3.0660377358490587,2.6249999999999885
2007-02-01,4.299583911234417,5.037783375314864,1.1873350923482962,3.655352480417773,-1.0277492291880796,3.5335689045936425,2.7431421446383997
2007-03-01,5.439330543933041,4.767879548306153,1.4492753623188248,3.6601307189542354,-0.5170630816959676,3.7602820211515953,2.985074626865658
2007-04-01,6.013986013986017,4.2131350681536395,1.3003901170351106,3.100775193798433,-0.8247422680412342,2.328288707799775,2.7194066749072876
2007-05-01,4.820936639118467,3.5714285714285587,2.3255813953488413,3.217503217503226,-0.7238883143743546,2.209302325581408,2.4600246002460135
2007-06-01,4.78796169630642,3.1901840490797584,2.9715762273901714,3.479381443298979,-1.0362694300518172,1.736111111111116,2.4539877300613577
2007-07-01,2.86885245901638,2.8117359413202925,2.414231257941535,3.4615384615384714,-1.349948078920038,1.8497109826589586,1.9631901840490684
2007-08-01,2.9931972789115635,2.93040293040292,2.5316455696202445,3.3205619412516096,-0.8307372793354029,1.0368663594470195,1.9559902200489088
2007-09-01,3.788903924221909,2.679658952496955,2.734375000000022,3.4438775510204023,-0.9326424870466421,0.9184845005740572,1.9536019536019467
2007-10-01,4.845222072678346,2.4242424242424176,5.013192612137196,3.2994923857868175,-0.8290155440414448,1.2600229095074633,2.195121951219514
2007-11-01,4.799999999999982,2.2946859903381744,5.555555555555558,3.0456852791878264,-0.9316770186335366,1.4891179839633395,2.311435523114347
2007-12-01,5.5925432756325,2.166064981949467,5.729166666666674,3.2953105196451116,-1.1328527291452062,1.83486238532109,2.3002421307506182
2008-01-01,6.174496644295302,2.1582733812949506,6.2909567496723495,3.148614609571787,-1.1434511434511574,1.4874141876430214,2.436053593179044
2008-02-01,5.585106382978733,3.237410071942426,6.127770534550203,3.148614609571787,-1.0384215991692591,1.2514220705347023,2.669902912621347
2008-03-01,5.555555555555558,3.3532934131736525,7.012987012987026,3.5308953341740112,-1.455301455301461,1.2457531143827971,2.5362318840579823
2008-04-01,6.596306068601576,3.8049940546967864,6.161745827984588,3.383458646616555,-0.9355509355509439,2.3890784982935065,3.0084235860409203
2008-05-01,8.015768725361383,4.042806183115344,6.186868686868685,2.9925187032418865,-0.7291666666666696,2.5028441410693825,3.361344537815114
2008-06-01,9.530026109660582,4.161712247324623,7.402760351317439,3.1133250311332406,0.10471204188480243,2.6166097838452806,3.7125748502993883
2008-07-01,12.350597609561742,4.399524375743158,8.312655086848642,3.3457249070631967,0.0,2.724177071509648,4.211793020457288
2008-08-01,13.210039630118885,4.982206405693956,7.777777777777772,3.213844252163156,-0.20942408376963817,3.420752565564422,4.436450839328532
2008-09-01,11.342894393741854,6.524317912218258,7.8580481622306575,2.959309494451312,0.313807531380772,3.2992036405005587,4.79041916167664
2008-10-01,10.141206675224645,6.627218934911228,4.396984924623126,2.7027027027026973,-0.2089864158829724,2.941176470588225,4.17661097852029
2008-11-01,10.687022900763377,6.493506493506485,1.3784461152882344,3.5714285714285587,-0.10449320794149175,3.1602708803611934,3.8049940546967864
2008-12-01,10.466582597730145,6.24263839811543,0.3694581280788034,2.208588957055202,-1.2500000000000067,2.4774774774774855,3.076923076923066
2009-01-01,10.240202275600518,5.98591549295775,-1.602959309494445,2.19780219780219,-0.525762355415349,2.931228861330326,2.9726516052318575
2009-02-01,11.586901763224166,4.878048780487809,-1.1056511056511176,2.4420024420024333,0.41972717733473885,3.0337078651685445,3.073286052009472
2009-03-01,10.526315789473696,4.2873696407879525,-1.8203883495145678,2.436053593179044,0.9493670886076,2.9082774049216997,2.8268551236749095
2009-04-01,8.663366336633672,3.3218785796105488,-0.6045949214026569,2.6666666666666616,0.6295907660021083,2.2222222222222143,2.219626168224309
2009-05-01,7.785888077858871,2.857142857142847,-0.8323424494649068,2.5423728813559476,0.9443861490031624,2.219755826859049,2.0905923344947785
